N_CTX,Triton [FP16],Triton [FP8]
1024.000000,71.879192,71.589355
2048.000000,90.582650,90.510081
4096.000000,104.902968,104.921749
8192.000000,112.748529,112.409567
16384.000000,116.990829,117.069909
