N_CTX,Triton [FP16],Triton [FP8]
1024.000000,180.928612,156.048343
2048.000000,202.751540,171.328761
4096.000000,176.492510,176.359463
8192.000000,179.009184,187.844356
16384.000000,181.356160,189.418390
