M,cuBLAS,Triton,Triton + TMA
128.000000,0.425984,0.556464,0.451072
256.000000,0.789536,0.871584,0.868448
512.000000,1.335408,1.423264,1.506960
1024.000000,2.739776,2.753440,2.813984
