N,cuBLAS,Triton,Triton + TMA
128.000000,0.018432,0.008224,0.012288
256.000000,0.018944,0.010272,0.016384
512.000000,0.034784,0.016256,0.022528
1024.000000,0.068128,0.065408,0.067584
